#name	dataset	cross_sxn(pb)	cross_sxn_err	total_evts	skimmed_dataset	skimmed_events
# Data	##################################################
WRtoEEJJ_3000_1500	/WRToNuEToEEJJ_MW-3000_MNu-1500_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	6.030e-03	1.659e-05	50000	/WRToNuEToEEJJ_MW-3000_MNu-1500_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_3000_1500_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	43980
WRtoEEJJ_3200_1600	/WRToNuEToEEJJ_MW-3200_MNu-1600_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	3.888e-03	1.072e-05	48220	/WRToNuEToEEJJ_MW-3200_MNu-1600_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_3200_1600_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	42402
WRtoEEJJ_3600_1800	/WRToNuEToEEJJ_MW-3600_MNu-1800_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.663e-03	4.382e-06	49290	/WRToNuEToEEJJ_MW-3600_MNu-1800_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_3600_1800_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	43595
WRtoEEJJ_3800_1900	/WRToNuEToEEJJ_MW-3800_MNu-1900_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.100e-03	2.878e-06	48524	/WRToNuEToEEJJ_MW-3800_MNu-1900_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_3800_1900_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	43067
WRtoEEJJ_4000_2000	/WRToNuEToEEJJ_MW-4000_MNu-2000_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	7.242e-04	1.825e-06	50000	/WRToNuEToEEJJ_MW-4000_MNu-2000_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_4000_2000_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	44416
WRtoEEJJ_4200_2100	/WRToNuEToEEJJ_MW-4200_MNu-2100_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	4.798e-04	1.179e-06	50000	/WRToNuEToEEJJ_MW-4200_MNu-2100_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_4200_2100_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	44564
WRtoEEJJ_4400_2200	/WRToNuEToEEJJ_MW-4400_MNu-2200_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	3.175e-04	7.705e-07	49051	/WRToNuEToEEJJ_MW-4400_MNu-2200_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_4400_2200_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	43694
WRtoEEJJ_4600_2300	/WRToNuEToEEJJ_MW-4600_MNu-2300_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	2.117e-04	4.970e-07	49796	/WRToNuEToEEJJ_MW-4600_MNu-2300_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_4600_2300_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	44388
WRtoEEJJ_4800_2400	/WRToNuEToEEJJ_MW-4800_MNu-2400_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.414e-04	3.210e-07	50000	/WRToNuEToEEJJ_MW-4800_MNu-2400_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_4800_2400_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	44785
WRtoEEJJ_5000_2500	/WRToNuEToEEJJ_MW-5000_MNu-2500_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	9.397e-05	2.078e-07	49736	/WRToNuEToEEJJ_MW-5000_MNu-2500_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_5000_2500_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	44474
